n,T,v,P
100,418,8.75,39720.0224457
10,413,4.0,8584.822435
445,408,2.0,754799.20644
55,443,3.25,62333.9016215
130,428,4.25,108852.76064
355,383,8.0,141311.789634
430,458,6.0,272912.821687
310,393,3.0,337655.82478
115,373,4.75,75085.1960442
340,448,3.5,361851.30496
490,378,5.25,293339.01744
325,463,7.0,178734.162007
295,388,8.5,111963.39848
250,423,1.0,879268.7385
370,438,9.5,141838.289672
220,453,7.75,106920.366023
460,468,3.75,477324.441984
85,398,1.5,187521.900227
175,433,6.5,96929.0251462
205,403,5.75,119462.698047
